week,index_level,max_52,ML,CCt
272,2247.26,2771.73,0.8107788276635892,0
273,2286.01,2771.73,0.8247592658736602,0
274,2304.14,2771.73,0.8313003070284624,0
275,2286.93,2771.73,0.8250911885356799,0
276,2313.91,2771.73,0.8348251813849111,0
277,2357.78,2771.73,0.8506528413662227,0
278,2488.9,2771.73,0.8979590364140808,0
279,2432.51,2771.73,0.8776143419452833,0
280,2394.97,2771.73,0.8640704541928687,0
281,2409.04,2771.73,0.8691467062087577,0
282,2468.51,2771.73,0.890602620024317,0
283,2426.05,2771.73,0.8752836676011012,0
284,2368.56,2771.73,0.8545421090798887,0
285,2384.96,2771.73,0.860458991315893,0
286,2307.95,2771.73,0.8326748997918267,0
287,2350.73,2771.73,0.8481093035757451,0
288,2397.96,2771.73,0.8651492028444329,0
289,2438.94,2771.73,0.8799341927243995,0
290,2452.29,2771.73,0.8847506791787079,0
291,2406.64,2771.73,0.8682808210034887,0
292,2278.14,2771.73,0.8219198839713825,0
293,2303.48,2771.73,0.8310621885970134,0
294,2290.78,2771.73,0.8264802127191322,0
295,2204.85,2771.73,0.7954779145154831,0
296,2178.49,2771.73,0.7859676086776128,0
297,2245.68,2771.73,0.8102087865701204,0
298,2202.45,2771.73,0.7946120293102141,0
299,2212.48,2771.73,0.7982307078972338,0
300,2295.58,2771.73,0.8282119831296699,0
301,2264.29,2668.84,0.8484172899087243,0
302,2178.97,2668.84,0.8164483445991516,0
303,2168.36,2618.31,0.8281525105888914,0
304,2122.84,2618.31,0.8107672506311324,0
305,2158.8,2618.31,0.8245013004571652,0
306,2151.97,2606.43,0.8256389007186075,0
307,2185.47,2606.43,0.8384917300675636,0
308,2270.67,2606.43,0.8711801199341629,0
309,2224.48,2606.43,0.8534585620945124,0
310,2167.83,2606.43,0.8317238521656058,0
311,2158.66,2606.43,0.8282056299229213,0
312,2133.91,2606.43,0.818709882866603,0
313,2145.95,2606.43,0.8233292281012726,0
314,2148.41,2606.43,0.8242730478086885,0
315,2156.46,2606.43,0.8273615635179153,0
316,2134.72,2488.9,0.8576961709992365,0
317,2176.24,2488.9,0.8743782393828597,0
318,2136.73,2488.9,0.8585037566796576,0
319,2150.26,2488.9,0.8639398931254771,0
320,2178.7,2488.9,0.8753666278275543,0
321,2148.01,2488.9,0.8630358793041103,0
322,2164.14,2488.9,0.8695166539435091,0
323,2260.45,2488.9,0.9082124633372172,0
324,2329.4,2488.9,0.9359154646631042,0
325,2331.13,2488.9,0.9366105508457552,0
326,2360.64,2488.9,0.9484671943428823,0
327,2365.36,2488.9,0.9503636144481498,0
328,2338.29,2488.9,0.9394873237173048,0
329,2449.26,2488.9,0.9840732853871189,0
330,2438.36,2488.9,0.9796938406524971,0
331,2425.21,2468.51,0.982459054247299,0
332,2437.2,2468.51,0.9873162352998366,0
333,2450.99,2468.51,0.9929026011642649,0
334,2466.79,2468.51,0.9993032234019711,0
335,2441.73,2466.79,0.9898410484881162,0
336,2390.71,2466.79,0.9691582988418147,0
337,2508.33,2466.79,1.0168396985556127,0
338,2502.15,2508.33,0.9975362093504444,0
339,2581.09,2508.33,1.0290073475180699,0
340,2583.46,2581.09,1.0009182167223925,0
341,2808.82,2583.46,1.0872318518575863,0
342,3124.89,2808.82,1.1125276806630542,0
343,3193.23,3124.89,1.0218695698088573,0
344,3383.17,3193.23,1.0594820918004655,0
345,3445.84,3383.17,1.0185240469736963,0
346,3533.71,3445.84,1.025500313421401,0
347,3546.72,3533.71,1.003681682990398,0
348,3635.15,3546.72,1.0249328957459287,0
349,3571.73,3635.15,0.9825536772897955,0
