week,index_level,max_52,ML,mean_52,std_52,mean-2.5*std,CC
252,2539.87,2771.73,0.9163482734609792,0.8300581704807392,0.06780476898982711,0.7283510169959985,0
253,2618.31,2771.73,0.9446482882531848,0.8323369850292562,0.06868661371469917,0.7293070644572075,0
254,2495.08,2771.73,0.9001886908176482,0.8352495162796436,0.0701889819483115,0.7299660433571764,0
255,2483.55,2771.73,0.8960288339773355,0.8375405309423225,0.07032952815367616,0.7320462387118083,0
256,2462.11,2771.73,0.8882935928102665,0.8401556364609581,0.0699184147421804,0.7352780143476876,0
257,2533.83,2771.73,0.9141691290277191,0.8431832907932665,0.06848671125960107,0.7404532239038649,0
258,2447.31,2771.73,0.8829539673777749,0.8463368111475378,0.06789341313912572,0.7444966914388492,0
259,2492.91,2771.73,0.8994057862778841,0.848542975312789,0.06716571235167709,0.7477944067852733,0
260,2540.84,2771.73,0.9166982353981088,0.8507999262909149,0.06685849207517255,0.7505121881781561,0
261,2592.05,2771.73,0.9351740609655342,0.8533933175371009,0.06674660853293708,0.7532734047376952,0
262,2597.23,2771.73,0.9370429298669062,0.855550339801973,0.06755296134364125,0.7542208977865111,0
263,2606.43,2771.73,0.9403621564871036,0.8576873873004447,0.06835015451833698,0.7551621555229392,0
264,2484.16,2771.73,0.8962489131336746,0.8599510909671111,0.06911200441392179,0.7562830843462284,0
265,2416.77,2771.73,0.871935578140728,0.861371871682752,0.06908364149683806,0.7577464094374948,0
266,2317.39,2771.73,0.8360807149325511,0.8619569311612592,0.06904096865470334,0.7583954781792042,0
267,2200.64,2771.73,0.7939590075512405,0.8625203810904508,0.06870056434328814,0.7594695345755186,0
268,2226.85,2771.73,0.8034151955637814,0.8620050865238166,0.06911919168456171,0.758326298996974,0
269,2275.37,2771.73,0.8209205081303013,0.8620149682000141,0.06911061239135216,0.7583490496129859,0
270,2190.48,2771.73,0.7902934268489356,0.8626723650642979,0.06854073546593416,0.7598612618653966,0
271,2224.01,2771.73,0.8023905647375467,0.8626731714471793,0.06853986696784276,0.7598633709954151,0
