month,index_level,max_12,ML,mean_12,std_12,CCt
69,2438.94,2686.88,0.9077219674864526,0.9059181216751565,0.07087212186612361,0
70,2330.03,2686.88,0.8671879652236051,0.9138715948971178,0.06447519009722834,0
71,2202.45,2686.88,0.8197053831953789,0.9063215186772418,0.0641689113827337,0
72,2178.97,2673.33,0.8150770761559553,0.8896284910379323,0.05762328705361591,0
73,2146.31,2606.43,0.8234673480584555,0.8746384993741781,0.050715158940135056,0
74,2158.66,2606.43,0.8282056299229213,0.8658761042092568,0.04961291292175465,0
75,2156.46,2606.43,0.8273615635179153,0.8589901479739982,0.04852780717260898,0
76,2165.12,2438.94,0.8877299154550747,0.8470987608690356,0.03420768246447362,0
77,2350.25,2438.94,0.9636358418001263,0.8528236088723556,0.034826410236101724,0
78,2338.29,2438.94,0.9587320721296957,0.8651102843291408,0.04519439681936981,0
79,2450.99,2438.94,1.0049406709472146,0.8732389202055675,0.05259159126417074,0
80,2508.33,2450.99,1.023394628293057,0.8822678245467444,0.0648398563476529,0
81,2808.82,2508.33,1.1197968369393183,0.8939300051821545,0.07659194120375307,0
82,3533.71,2808.82,1.258076345226821,0.9116029109698931,0.10072790003811762,0
83,3434.39,3533.71,0.9718935622900577,0.9441769426368278,0.14043618773426197,0
84,3572.84,3533.71,1.0110733478412208,0.9568592908947178,0.1349378609467957,0
85,4051.2,3572.84,1.1338878875068572,0.9731923135351565,0.12789421960687153,0
86,4749.89,4051.2,1.172464948657188,0.9990606918225232,0.1262399129226255,0
87,4840.83,4749.89,1.0191457065321512,1.0277489683837122,0.12295714306171267,0
88,4473.0,4840.83,0.9240150965846766,1.0437309803015653,0.10581152066301329,0
89,3816.7,4840.83,0.788439172621224,1.046754745395699,0.10137361126588519,1
90,3366.54,4840.83,0.6954468551880566,1.0321550229641236,0.1244270724465764,1
91,3202.95,4840.83,0.6616530636275184,1.010214588218987,0.15739583232038531,1
92,3534.08,4840.83,0.7300566225213445,0.9816072876090124,0.18687738293864367,0
93,3566.41,4840.83,0.7367352292891921,0.9571624537947027,0.1996623684796763,0
94,3731.0,4840.83,0.7707355969947303,0.9252406531571923,0.20190589115344534,0
95,2946.09,4840.83,0.608591915022837,0.8846289241378514,0.17625558450576265,1
96,2877.47,4840.83,0.5944166599529419,0.8543537868655832,0.1905276519781122,0
97,3218.09,4840.83,0.6647806264628173,0.8196323962082266,0.1972188533713595,0
98,3156.75,4840.83,0.6521092457285218,0.7805401244545566,0.17444252130399437,0
99,3169.56,4840.83,0.6547554861459708,0.7371771492105009,0.12615192029948316,0
100,3153.92,4473.0,0.7051017214397496,0.7068112975116526,0.09109406765398237,0
101,3203.93,3816.7,0.8394503104776377,0.6885685162495753,0.06038607928059893,0
102,3327.79,3731.0,0.8919297775395336,0.6928194444042766,0.0692069278080853,0
103,3253.28,3731.0,0.8719592602519433,0.7091930212668998,0.09000327300384968,0
104,3336.28,3731.0,0.8942053068882337,0.7267185376522685,0.09984240170095192,0
105,3538.0,3731.0,0.9482712409541678,0.7403975946828424,0.11096634739461113,0
106,3310.08,3731.0,0.8871830608415974,0.7580255956549239,0.1261016601684803,0
107,3387.96,3538.0,0.957591859807801,0.7677295509754959,0.13153223640915795,0
108,3452.81,3538.0,0.9759214245336348,0.7968128797075762,0.13173004433296506,0
109,3456.05,3538.0,0.9768371961560204,0.828604943422634,0.12426791718453567,0
110,3439.75,3538.0,0.9722300734878463,0.8546096575637342,0.11942556437438674,0
111,3492.88,3538.0,0.9872470322215942,0.8812863932103446,0.10495691169547519,0
112,3666.8,3538.0,1.0364047484454495,0.9089940220499799,0.08083335228191506,0
113,3737.87,3666.8,1.0193820224719101,0.9366026076337883,0.05830090770358476,0
114,3822.09,3737.87,1.0225315487162476,0.9515969169666443,0.05402429180846957,0
115,3836.5,3822.09,1.0037701885617554,0.9624803978980371,0.054066472325784515,0
116,4006.72,3836.5,1.044368565098397,0.973464641923855,0.04692154455509082,0
117,4006.1,4006.72,0.9998452599632618,0.9859782467747019,0.043780636268357015,0
118,4030.85,4006.72,1.006022382397572,0.9902760816921264,0.04224711327392319,0
119,4275.9,4030.85,1.060793629135294,1.0001793584884575,0.027095589580624933,0
120,4023.64,4275.9,0.9410042330269651,1.0087795059324154,0.028681202351203736,1
121,3898.5,4275.9,0.9117378797446153,1.0058697399735261,0.03365730813574707,1
122,3756.88,4275.9,0.8786173671040016,1.0004447969392423,0.04277394781334674,1
123,3802.38,4275.9,0.8892584017399847,0.9926437380739218,0.05513725892114187,1
124,3510.98,4275.9,0.8211090062910733,0.9844780188671213,0.06274084230718124,1
125,3517.66,4275.9,0.8226712504969714,0.9665367070209232,0.07593711944388425,1
126,3334.5,4275.9,0.7798358240370449,0.9501441426896785,0.08426740739254081,1
127,3438.86,4275.9,0.8042423817208074,0.9299194989664116,0.0938894454913957,0
128,3153.82,4275.9,0.7375803924320027,0.9132921817296659,0.09723014357934491,1
129,3172.69,4275.9,0.7419934984447719,0.887726500674133,0.0999277352855194,0
130,3010.65,4275.9,0.7040973830070864,0.8662388538809256,0.10134008416755338,1
131,3201.63,4275.9,0.7487616642110434,0.8410784372650516,0.1009598489999909,0
132,3669.37,4023.64,0.9119528586056407,0.8150757735213641,0.07642926676371548,0
133,3872.34,3898.5,0.993289726818007,0.8126548256529204,0.07243343140518291,0
134,3913.21,3872.34,1.0105543418191585,0.8194508129090363,0.08526424830745144,0
135,3629.79,3913.21,0.9275735265932572,0.830445560801966,0.10069719517879029,0
136,3825.59,3913.21,0.9776091750762163,0.8336384878730722,0.10330525392157237,0
137,3835.36,3913.21,0.9801058466067499,0.8466801686051673,0.11115970329175581,0
138,3799.59,3913.21,0.9709650133777641,0.8597997182809821,0.11719517070104774,0
139,3814.53,3913.21,0.974782850907567,0.8757271507260421,0.11832201424000084,0
140,3886.75,3913.21,0.9932382877484214,0.8899388564916054,0.11919402752023411,0
141,3828.67,3913.21,0.9783962526928021,0.911243681101307,0.11212424215575094,0
142,4096.58,3913.21,1.0468592281017375,0.930943910621976,0.09977108229847151,0
143,4003.9,4096.58,0.9773762504332882,0.959507397713197,0.07488384805263347,0
144,3940.05,4096.58,0.9617900785533299,0.9785586132317176,0.03468513389472242,0
145,3686.16,4096.58,0.8998139911828891,0.982711714894025,0.028398978552669256,1
146,3912.58,4096.58,0.9550844851070893,0.9749220702577649,0.03680849371927135,0
147,3867.02,4096.58,0.9439630130499099,0.970299582198426,0.0353823011307511,0
148,4163.96,4096.58,1.0164478662689365,0.9716653727364802,0.03386697775896856,0
149,4695.05,4163.96,1.1275444528765888,0.9749019303358737,0.03625808159117021,0
150,4816.22,4695.05,1.0258080318633453,0.9871884808583603,0.05714596967060482,0
151,4587.4,4816.22,0.9524897118487111,0.9917587323988254,0.05791836165009703,0
152,4695.33,4816.22,0.9748994024359352,0.9899009708105874,0.058862214198368686,0
153,4960.25,4816.22,1.029905195360677,0.9883727303678803,0.05900558217570151,0
154,5211.29,4960.25,1.0506103523007913,0.99266514225687,0.0600776497168515,0
155,5351.96,5211.29,1.0269933164341267,0.9929777359401243,0.06039418981630852,0
156,5336.76,5351.96,0.9971599189829521,0.9971124914401942,0.06092509464239375,0
157,5048.36,5351.96,0.9432731186331735,1.0000599781426627,0.059907971841603506,0
158,5123.49,5351.96,0.9573109664496745,1.003681572096853,0.054352982848732724,0
159,5331.57,5351.96,0.9961901807935784,1.003867112208735,0.05417552054765144,0
160,5224.04,5351.96,0.9760984760723174,1.0082193761873741,0.05092595788517124,0
161,4811.17,5351.96,0.8989547754467522,1.0048569270043226,0.05166003946503651,1
162,4805.61,5351.96,0.8979159037063057,0.9858077872185028,0.04386441551554959,1
163,4866.38,5351.96,0.9092706223514376,0.9751501098720831,0.048548838589570945,0
164,4908.77,5351.96,0.9171910851351656,0.9715485190806435,0.051872082853370076,0
165,4832.03,5351.96,0.9028524129477798,0.9667394926389127,0.05415787037330167,0
166,4940.37,5351.96,0.9230954640916599,0.9561517607711713,0.053095348465133425,0
167,4563.77,5351.96,0.8527287199455901,0.9455255200870769,0.04454371260444578,1
168,4581.65,5336.76,0.8585077837489412,0.9310034703796988,0.04397223380195739,1
169,4222.6,5331.57,0.7919993547866765,0.9194491257768646,0.04321830960761006,1
170,4016.24,5331.57,0.753294057847876,0.9068429787896566,0.05585283204849269,1
171,4091.52,5331.57,0.7674137261632128,0.8898415697395067,0.06867353979905459,1
172,4485.01,5224.04,0.8585328596258834,0.8707768651869764,0.06821996511776757,0
173,4170.1,4940.37,0.844086576511476,0.8609797304831067,0.05961929814108497,0
174,4078.84,4940.37,0.8256142758538328,0.8564073805718339,0.05853628697869713,0
175,3804.89,4940.37,0.7701629635027336,0.8503822449174607,0.057588742993513076,0
176,3508.7,4940.37,0.7102099640310341,0.8387899400134021,0.05864826606235353,1
177,3853.04,4940.37,0.779909197084429,0.8215415132547245,0.06371226668871666,0
178,3871.63,4940.37,0.7836720731443192,0.811296245266112,0.05917154056382727,0
