week,spread
174,0.4630399999999999
175,0.4658199999999999
176,0.52435
177,0.5287333333333334
178,0.5947999999999998
179,0.5982000000000001
180,0.6421199999999999
181,0.6407600000000001
182,0.4489599999999999
183,0.37975999999999976
184,0.3734400000000001
185,0.40814000000000006
186,0.32287999999999994
187,0.25107999999999997
188,0.3719399999999998
189,0.32720000000000005
190,0.36927999999999966
191,0.4044500000000002
192,0.50804
193,0.72368
194,0.8066666666666666
195,0.8713500000000001
196,0.87995
197,1.03392
198,1.2146199999999998
199,1.34682
200,1.45394
201,1.4089000000000003
202,1.5577599999999998
203,1.66038
204,1.6032400000000002
205,1.4
206,1.177
207,1.0860800000000002
208,1.010875
209,0.9633199999999998
210,0.8007200000000001
211,0.8180799999999998
212,0.8460000000000001
213,1.0000999999999998
214,1.0777
215,0.9747399999999999
216,0.8262999999999996
217,0.8891799999999996
218,0.94102
219,0.8881800000000002
220,0.7299400000000001
221,0.6418200000000003
222,0.5148199999999998
223,0.52782
224,0.45684
225,0.4481000000000003
226,0.45466000000000006
227,0.5018750000000001
228,0.43134000000000006
229,0.25304999999999994
230,0.20094999999999996
231,0.23709999999999998
232,0.23001999999999995
233,0.26878
234,0.3545400000000001
235,0.37908
236,0.32952000000000004
237,0.42152
238,0.3937399999999999
239,0.5190600000000001
240,0.5014200000000001
241,0.3723199999999999
242,0.2913000000000001
243,0.37797500000000006
244,0.3966
245,0.3310200000000001
246,0.27136000000000005
247,0.32056000000000007
248,0.31402
249,0.2887666666666666
250,0.2701499999999999
251,0.32509999999999994
252,0.3884800000000001
253,0.3385999999999999
254,0.3857399999999999
255,0.35453999999999997
256,0.42306
257,0.5546249999999999
258,0.5416399999999999
259,0.44622
260,0.4965250000000001
261,0.6548799999999999
262,0.88798
263,1.1187800000000003
264,1.39226
265,1.6238
266,1.73516
267,1.83128
268,1.775725
269,1.7492
270,1.5076800000000001
271,1.18776
272,1.1319399999999997
273,1.20838
274,1.23204
275,1.3035800000000002
276,1.26406
277,1.20152
278,1.06385
279,1.06316
280,1.0552
281,1.0089400000000002
282,0.9703999999999998
283,0.8989333333333334
284,0.7924
285,0.70274
286,0.6629799999999999
287,0.7089199999999998
288,0.7037
289,0.63204
290,0.5689200000000001
291,0.4998799999999998
292,0.54348
293,0.59852
294,0.50686
295,0.521675
296,0.5523999999999999
297,0.5095999999999999
298,0.51106
299,0.56976
300,0.5703166666666667
301,0.5666999999999999
302,0.7007
303,0.6896000000000002
304,0.79782
305,0.7889200000000001
306,0.8076000000000001
307,0.8004999999999999
308,0.82795
309,0.8020399999999999
310,0.77352
311,0.7178800000000001
312,0.6715999999999999
313,0.66594
314,0.7099
315,0.71296
316,0.75196
317,0.737975
318,0.70842
319,0.6973999999999999
320,0.58992
321,0.56666
322,0.6082399999999999
323,0.6083
324,0.5879399999999999
325,0.60352
326,0.5946800000000001
327,0.62472
328,0.6730599999999999
329,0.6858799999999999
330,0.6955600000000001
331,0.7044249999999999
332,0.6420000000000001
333,0.6368600000000001
334,0.6159000000000001
335,0.6074
336,0.6333000000000001
337,0.6690200000000001
338,0.67828
339,0.74278
340,0.71298
341,0.63816
342,0.6465400000000001
343,0.67962
344,0.30241999999999986
