week,index_level,diff,is_rising,pli,date
169,2247.263,1.8989999999998872,1,0.8,169
170,2286.01,9.228000000000065,1,0.6,170
171,2304.144,-17.432000000000244,0,0.4,171
172,2286.929,-17.0029999999997,0,0.2,172
173,2313.91,-4.401000000000295,0,0.4,173
174,2357.782,16.047000000000025,1,0.6,174
175,2488.902,-18.552999999999884,0,0.8,175
176,2432.51,5.188000000000102,1,0.3333333333333333,176
177,2394.971,10.527999999999793,1,0.4,177
178,2409.037,14.065999999999804,1,1.0,178
179,2468.508,39.1909999999998,1,0.75,179
180,2426.054,12.72400000000016,1,0.4,180
181,2368.559,-31.95199999999977,0,0.2,181
182,2384.96,11.24200000000019,1,0.6,182
183,2307.945,-32.60699999999997,0,0.2,183
184,2350.734,46.23299999999972,1,0.8,184
185,2397.962,-12.027000000000044,0,0.4,185
186,2438.944,-0.5860000000002401,0,0.4,186
187,2452.287,-15.91000000000031,0,0.4,187
188,2406.639,-3.375999999999749,0,0.2,188
189,2278.136,-54.27399999999989,0,0.2,189
190,2303.478,38.14400000000023,1,0.8,190
191,2290.779,-31.19900000000007,0,0.25,191
192,2204.851,-17.36999999999989,0,0.2,192
193,2178.488,-33.35600000000022,0,0.4,193
194,2245.678,13.78899999999976,1,0.6,194
195,2202.45,-25.33100000000013,0,0.5,195
196,2212.483,10.033000000000357,1,1.0,196
197,2295.575,16.02099999999973,1,0.8,197
198,2264.294,-23.14200000000028,0,0.4,198
199,2178.971,24.86299999999983,1,0.4,199
200,2168.358,-5.27599999999984,0,0.4,200
201,2122.836,-17.4970000000003,0,0.6,201
202,2158.798,71.83099999999968,1,0.4,202
203,2151.965,-3.7419999999997344,0,0.2,203
204,2185.472,20.464000000000397,1,0.6,204
205,2270.666,-3.0949999999998,0,0.75,205
206,2224.479,-0.3240000000000691,0,0.2,206
207,2167.826,-22.64800000000014,0,0.2,207
208,2158.659,0.1890000000003056,1,0.6666666666666666,208
209,2133.911,-1.5850000000000364,0,0.2,209
210,2145.952,1.868000000000393,1,0.4,210
211,2148.414,17.546000000000276,1,0.6,211
212,2156.464,1.2999999999997272,1,0.6,212
213,2134.716,-15.885999999999967,0,0.25,213
214,2176.242,22.832000000000335,1,0.4,214
215,2136.729,9.821999999999662,1,0.4,215
216,2150.258,1.181999999999789,1,0.6,216
217,2178.695,-1.4969999999998436,0,0.6,217
218,2148.009,5.161999999999807,1,0.4,218
219,2164.144,7.075999999999567,1,0.6,219
220,2260.454,23.439000000000306,1,1.0,220
221,2329.402,-20.84900000000016,0,0.6,221
222,2331.134,3.6770000000001346,1,0.4,222
223,2360.635,24.690000000000055,1,0.6,223
224,2365.364,11.11999999999989,1,0.6,224
225,2338.287,27.009000000000015,1,0.4,225
226,2449.259,23.034999999999854,1,1.0,226
227,2438.358,14.903999999999996,1,0.25,227
228,2425.211,16.54699999999957,1,0.6,228
229,2437.201,0.2359999999998763,1,0.6,229
230,2450.988,3.188999999999851,1,1.0,230
231,2466.789,-15.165999999999713,0,0.6666666666666666,231
232,2441.732,-2.663000000000011,0,0.2,232
233,2390.706,-5.230000000000018,0,0.2,233
234,2508.325,39.399999999999636,1,0.8,234
235,2502.153,-3.9140000000002146,0,0.6,235
236,2581.093,1.3429999999998472,1,0.6,236
237,2583.455,46.35599999999977,1,0.2,237
238,2808.819,54.32900000000018,1,1.0,238
239,3124.885,20.534000000000106,1,1.0,239
