month,index_level,diff,is_rising,pli
84,3456.0455,19.287500000000364,1,0.5217391304347826
85,3439.753,-6.967200000000048,0,0.5555555555555556
86,3492.8845,12.450000000000273,1,0.45
87,3666.7977,-2.03020000000015,0,0.5909090909090909
88,3737.8732,15.981800000000021,1,0.5714285714285714
89,3822.0928,-12.207699999999932,0,0.5217391304347826
90,3836.5013,13.96270000000004,1,0.5714285714285714
91,4006.7179,-3.003899999999703,0,0.6470588235294118
92,4006.0993,-47.6536000000001,0,0.5909090909090909
93,4030.8549,11.957499999999982,1,0.5238095238095238
94,4275.8986,19.79650000000038,1,0.7727272727272727
95,4023.6415,-35.33909999999969,0,0.5333333333333333
96,3898.4977,4.447900000000118,1,0.5454545454545454
97,3756.8765,1.3823999999999614,1,0.3888888888888889
98,3802.3759,79.0034999999998,1,0.5
99,3510.9845,87.45899999999983,1,0.35
100,3517.6568,2.577400000000125,1,0.45454545454545453
101,3334.5036,-16.590599999999995,0,0.34782608695652173
102,3438.8649,35.27469999999994,1,0.47368421052631576
103,3153.8234,43.562900000000354,1,0.4444444444444444
104,3172.69,35.03580000000011,1,0.45454545454545453
105,3010.6536,20.147899999999936,1,0.35
106,3201.6331,33.15020000000004,1,0.5454545454545454
107,3669.3703,-9.021799999999985,0,0.6
108,3872.3412,143.9458999999997,1,0.5714285714285714
109,3913.211,12.8770999999997,1,0.5238095238095238
110,3629.7893,-11.394000000000233,0,0.4
111,3825.5873,-9.229899999999816,0,0.47368421052631576
112,3835.3589,-34.95869999999968,0,0.4782608695652174
113,3799.5863,9.399599999999737,1,0.45454545454545453
114,3814.5282,-38.12519999999995,0,0.6
115,3886.7519,-4.473599999999806,0,0.5555555555555556
116,3828.6706,-33.632300000000214,0,0.47619047619047616
117,4096.5821,14.948699999999462,1,0.5909090909090909
118,4003.9013,-128.0297999999998,0,0.4375
119,3940.0488,-144.82709999999997,0,0.6
120,3686.1551,12.044300000000021,1,0.45454545454545453
121,3912.5772,45.54520000000002,1,0.5714285714285714
122,3867.0232,10.390800000000127,1,0.5555555555555556
123,4163.9637,54.247299999999996,1,0.75
124,4695.0462,38.89559999999983,1,0.6956521739130435
